variable,count,mean,std,min,25%,50%,75%,max
activity,22965.0,0.11595847104183996,0.18694640171996746,0.0,0.0,0.0217391304347826,0.158333333333333,1.0
appCat.builtin,91288.0,18.5382618854614,415.9892425389449,-82798.871,2.02,4.038,9.922,33960.246
appCat.communication,74276.0,43.34379214012602,128.91275040981907,0.006,5.218,16.2255,45.47575,9830.777
appCat.entertainment,27125.0,37.576480258064514,262.96047624199076,-0.011,1.334,3.391,14.922,32148.677
appCat.finance,939.0,21.755251331203404,39.21836124858083,0.131,4.072,8.026,20.155,355.513
appCat.game,813.0,128.39161500615006,327.1452457726438,1.003,14.148,43.168,123.625,5491.793
appCat.office,5642.0,22.57889170506913,449.6013815687638,0.003,2.004,3.106,8.04375,32708.818
appCat.other,7650.0,25.810839346405224,112.78135450479799,0.014,7.019,10.028,16.829250000000002,3892.038
appCat.social,19145.0,72.40190551057717,261.55184643976116,0.094,9.03,28.466,75.372,30000.906
appCat.travel,2846.0,45.73084996486296,246.10930697832654,0.08,5.0865,18.144,47.22725,10452.615
appCat.unknown,939.0,45.55300638977636,119.40040472651253,0.111,5.018,17.19,44.430499999999995,2239.937
appCat.utilities,2487.0,18.53755207076799,60.959133627107796,0.246,3.1585,8.03,19.331,1802.649
appCat.weather,255.0,20.148713725490193,24.943430760793742,1.003,8.684000000000001,15.117,25.349,344.863
call,5239.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
circumplex.arousal,5597.0,-0.09862426299803466,1.0518678208714742,-2.0,-1.0,0.0,1.0,2.0
circumplex.valence,5487.0,0.6878075451066157,0.6712976975638902,-2.0,0.0,1.0,1.0,2.0
mood,5641.0,6.9925545116114165,1.0327687163834576,1.0,7.0,7.0,8.0,10.0
screen,96578.0,75.33520557472382,253.82249689366944,0.0350000858306885,5.322250008583067,20.04449999332425,62.54025012254718,9867.00699996948
sms,1798.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
